datetime,value
2024-07-06 19:29:00,6.667
2024-07-06 19:30:00,1.111
2024-07-06 19:31:00,1.111
2024-07-06 19:32:00,1.111
2024-07-06 19:33:00,3.333
2024-07-06 19:34:00,0.175
2024-07-06 19:35:00,0.175
2024-07-06 19:36:00,0.175
2024-07-06 19:37:00,0.175
2024-07-06 19:38:00,0.175
2024-07-06 19:39:00,0.175
2024-07-06 19:40:00,0.175
2024-07-06 19:41:00,0.175
2024-07-06 19:42:00,0.175
2024-07-06 19:43:00,0.175
2024-07-06 19:44:00,0.175
2024-07-06 19:45:00,0.175
2024-07-06 19:46:00,0.175
2024-07-06 19:47:00,0.175
2024-07-06 19:48:00,0.175
2024-07-06 19:49:00,0.175
2024-07-06 19:50:00,0.175
2024-07-06 19:51:00,0.175
2024-07-06 19:52:00,0.175
2024-07-06 19:53:00,0.0
2024-07-08 09:13:00,0.0
2024-07-08 09:14:00,3.333
2024-07-08 09:15:00,0.078
2024-07-08 09:16:00,0.078
2024-07-08 09:17:00,0.078
2024-07-08 09:18:00,0.078
2024-07-08 09:19:00,0.078
2024-07-08 09:20:00,0.078
2024-07-08 09:21:00,0.078
2024-07-08 09:22:00,0.078
2024-07-08 09:23:00,0.078
2024-07-08 09:24:00,0.078
2024-07-08 09:25:00,0.078
2024-07-08 09:26:00,0.078
2024-07-08 09:27:00,0.078
2024-07-08 09:28:00,0.078
2024-07-08 09:29:00,0.078
2024-07-08 09:30:00,0.078
2024-07-08 09:31:00,0.078
2024-07-08 09:32:00,0.078
2024-07-08 09:33:00,0.078
2024-07-08 09:34:00,0.078
2024-07-08 09:35:00,0.078
2024-07-08 09:36:00,0.078
2024-07-08 09:37:00,0.078
2024-07-08 09:38:00,0.078
2024-07-08 09:39:00,0.078
2024-07-08 09:40:00,0.078
2024-07-08 09:41:00,0.078
2024-07-08 09:42:00,0.078
2024-07-08 09:43:00,0.078
2024-07-08 09:44:00,0.078
2024-07-08 09:45:00,0.078
2024-07-08 09:46:00,0.078
